код	цена	количество
71588	315	1
60107	30	15
68878	448	4
68878	449	1
65418	304	1
65802	493	4
27265	490	3
30298	129	2
30298	129	2
30298	129	2
30298	131	1
66770	1680	2
71324	69	77
68247	160	1
66953	175	1
71011	1147	1
27273	160	2
57243	102	3
66924	90	2
66924	90	1
27279	630	1
47946	650	1
56517	520	3
56517	520	2
73199	290	2
72406	460	1
72377	300	1
58376	450	1
73279	240	2
73288	230	1
64506	550	5
63249	590	1
66158	700	1
57289	70	9
30562	200	1
46727	2400	1
27286	1980	1
66179	29260	3
38034	150	2
61346	400	1
72533	320	3
30462	600	1
50573	120	5
66139	270	2
66139	270	1
27305	650	1
72365	560	1
73244	8800	1
71087	1300	1
62104	1070	1
70017	480	1
71683	1309	2
73185	1166	1
70956	629	27
70527	618	5
51619	880	1
51619	880	1
70662	770	2
71482	1000	2
27315	1000	1
27315	1200	2
40067	750	2
52204	1567	1
72177	830	1
72178	780	2
62627	228	4
72092	232	1
71264	750	1
55713	2000	0.25
55713	2060	1
72028	990	2
72028	1000	1
68234	1080	1
62910	850	1
63278	19200	1
63278	19800	1
72591	850	1
71560	1270	1
70143	1600	1
33281	240	2
33281	240	1
71563	250	1
58237	750	1
72846	750	1
64430	750	1
57329	250	1
58936	266	3
68187	930	1
73287	900	2
44005	820	2
73172	930	1
73173	450	1
72353	3300	1
63774	2400	1
66934	700	1
67804	1300	2
72987	3300	1
63102	5600	1
72557	610	1
27328	1800	1
27329	790	1
73094	179	6
40250	440	2
36117	370	1
36117	450	1
67712	632	1
66880	230	1
71650	350	4
55381	35	3
73177	35	5
73178	35	7
73179	35	8
35336	101	6
32739	55	2
58097	75	10
58097	75	3
47796	540	2
39119	800	2
64197	150	4
33487	120	10
38164	70	5
72820	130	3
72988	108	2
72856	89	5
56203	140	2
67635	700	3
67635	700	1
73087	114	3
69854	4200	1
70752	4900	1
55699	131	4
55699	133	2
69690	84	4
69262	87	3
37329	600	1
72611	469	2
64393	419	2
72800	208	2
68542	182	2
68542	187	1
71104	195	2
72201	498	1
65869	60	2
70643	380	1
30362	484	1
30362	498	3
32899	790	2
32899	790	1
65071	960	1
56115	1450	1
55690	300	1
69727	70000	1
27365	860	1
69640	750	2
61328	980	1
61328	990	3
68173	730	5
68173	850	2
67690	980	2
57833	450	1
59874	300	1
52296	29	13
58397	27	1
33654	250	2
58568	111	1
71763	35	2
36551	66	2
68391	80	1
73073	136	4
72996	193	1
45991	410	1
64538	1150	2
41133	340	1
68620	760	2
72276	539	4
72276	539	3
69957	690	1
61887	77000	1
32123	980	1
32122	980	1
31140	510	1
72295	6738	4
65008	2310	1
72397	400	4
69870	720	1
62158	78000	3
30885	152	1
31035	320	2
32024	500	1
31320	3300	0.533333
71064	125000	1
71985	589820	1
30843	730	1
30843	800	1
72620	560	1
73162	100	3
72949	100	3
72950	100	3
33597	150	3
60894	1800	1
60015	990	1
45896	950	3
50776	680	2
72387	2100	1
64909	1500	2
64342	1280	3
47793	300	2
36649	550	1
34772	70	4
34772	70	1
67880	950	1
71431	550	2
71278	500	1
71278	500	1
71602	1450	1
72222	1450	1
54774	1100	1
72808	550	1
72809	550	1
64475	850	2
58823	850	1
65190	400	1
67271	420	1
69089	680	1
69089	700	2
27405	760	1
27405	790	2
64341	700	1
64341	700	1
70896	12882	2
72559	350	1
68319	450	0.2
72616	450	1
69461	320	1
73048	220	2
73090	240	1
73136	130	2
72081	130	1
72320	130	1
63901	100	4
67925	110	3
64233	130	2
68924	190	8
68924	190	1
73145	60	1
70003	90	1
65364	170	1
72321	140	1
73024	170	1
69152	95	2
69152	95	1
69152	100	3
68496	35	20
68496	35	20
40708	35	21
70708	590	1
38819	760	1
38819	780	1
39710	360	10
39710	385	1
61836	1700	1
68657	3850	1.0E-6
70078	28	52
63642	70	12
66279	100	3
37030	730	1
39496	166	1
63051	256	1
37342	990	1
49855	510	1
32198	830	1
62600	1350	1
71297	350	1
64091	410	1
27429	450	2
71220	550	1
52706	550	1
27433	500	1
69099	700	1
67085	69	6
72245	800	1
48223	1100	1
27439	900	1
72908	1270	2
72635	1570	1
71950	950	1
67895	190	4
58229	150	1
58922	320	1
27445	133	2
72263	1040	3
32214	587	4
27449	238	2
73234	2300	1
73077	2260	1
73077	2350	1
72653	1600	2
30371	760	2
35195	240	5
72018	270	7
51631	220	1
71476	500	1
53473	300	1
64353	170	4
64353	170	2
56179	130	1
59859	2270	1
71358	163	1
58627	197	2
62912	141	2
54824	383	10
35846	550	6
27457	840	1
68937	645	3
63562	172	6
63562	172	1
69047	428	5
69047	431	3
71117	175	1
56420	686	2
58927	784	2
69412	2100	1
27462	1629	2
71407	990	1
33935	750	1
60304	650	2
70241	550	2
70241	550	1
70247	540	2
72394	2100	1
65900	950	1
57287	950	1
37052	90	2
72123	160	1
70579	70	2
68552	150	1
36152	160	3
59497	400	2
68934	35	20
70184	1400	1
62823	1100	1
61800	500	1
72357	200	1
72563	400	10
57616	30	3
56064	45	22
57520	35	1
72721	40	1
27475	35	9
39854	145	1
39854	320	1
30395	1350	4
30395	1500	1
66814	250	1
72385	150	1
63424	170	3
73294	300	4
32641	300	4
27474	30	10
51064	25	11
66751	20	6
66751	25	2
27483	20	8
27483	30	8
30643	30	10
60451	30	8
73032	150	2
65312	80	1
72873	450	1
71715	350	1
69340	600	1
69598	1100	1
69598	1100	1
27492	330	2
61571	450	1
61572	750	2
68517	192	10
68517	199	2
69908	82	3
67862	499	1
72960	49	1
72960	49	1
72960	49	1
72960	49	1
58291	200	1
57268	600	1
56880	550	1
57269	336	1
57269	900	1
72322	150	2
72867	150	1
73137	150	2
72914	276	1
72914	280	1
73200	332	6
72844	144	1
72844	149	9
51880	135	1
51880	136	8
66354	270	2
72209	222	1
33922	127	4
71480	570	1
65540	570	3
65540	640	1
33411	1150	1
33411	1150	1
68300	700	1
68300	730	2
49388	2750	90
49388	2750	4
49388	3450	8
69406	150	8
67668	270	4
65079	250	1
69989	350	1
70636	380	1
70084	370	2
70027	400	1
71720	2100	1
66002	1318	10
30301	460	2
27508	450	3
27508	450	1
55362	800	1
64364	510	1
70377	600	1
70377	610	1
72598	60	7
67104	3450	2
69976	660	1
72223	550	2
41682	200	1
41682	220	9
64707	30	3
67579	35	24
32869	280	2
50891	230	1
27516	280	4
36801	160	1
60966	45	22
60966	45	10
60966	45	4
33415	120	2
32986	180	10
39845	5390	2
71347	2932	1
66103	1700	1
72962	68266	1
35762	4900	2
71132	9087	1
60892	15332	0.416668
70117	3057	1
72172	40	7
72172	40	6
63081	25	2
66972	570	2
62926	1350	1
58952	3100	2
58906	2400	1
58906	2400	1
63403	4250	2
71225	780	1
56971	1100	2
56971	1100	1
73081	160	4
71095	250	5
71095	250	1
73062	380	1
69230	527	1
71337	2565	2
71876	570	1
73096	800	1
68900	970	2
27534	900	1
68571	300	1
71180	650	1
71180	660	2
45506	680	1
30626	550	1
72203	550	1
63926	100	3
65732	830	2
28338	1100	1
28338	1250	2
66086	370	2
30397	1350	1
29003	800	1
31894	700	3
66090	370	3
62994	6900	1
37964	1403	2
61295	180	1
64146	90	1
58601	593	5
58601	593	5
72323	250	1
72500	100	1
72502	100	1
72499	100	1
72501	100	1
72877	860	2
66873	600	1
65302	450	1
40377	490	1
73208	680	1
31709	300	9
27691	180	10
72525	46200	1
60041	35420	2
63259	10010	1
57749	12650	1
61894	29005	1
40744	497	1
42280	1008	1
42278	1680	1
40738	1680	1
40737	1680	1
42273	1680	1
40742	1680	1
42276	1680	1
