код	цена	количество
31806	900	2
32892	550	1
31975	570	2
31975	570	1
33056	3120	1
69086	92400	1
31816	691	4
31986	1165	1
41317	690	1
63826	58072	1
72712	1708	2
40731	870	1
31033	180	3
72894	49280	1
61169	5236	1
30818	100	1
31296	40	2
31308	40	2
31302	75	7
31302	90	3
31303	65	40
31300	80	1
65457	45	50
65457	45	40
65457	55	16
31500	220	2
31500	220	1
61320	187880	1
65073	84	150
28364	120	1
28364	160	2
72248	90	1
71893	34188	1
72564	2370	1
35001	4400	10
72865	850	1
72002	2100	1
72504	263	1
58268	212	2
68267	479	1
54311	343	1
54311	345	1
54311	347	3
68048	618	4
68048	626	2
65873	5676	2
67040	380	1
66341	290	1
28136	280	2
58304	90	1
58304	100	5
56769	60	14
62452	1650	1
55607	1997	1
62551	230	3
63037	1650	1
71555	740	1
63117	1100	1
59341	750	1
33527	1390	1
70560	1180	1
38864	580	3
70260	1260	2
34950	198	2
68259	60	1
68259	62	18
71564	730	4
71564	730	1
72027	1700	3
72992	250	5
56088	610	2
69960	870	1
33445	40	7
33445	40	3
66468	640	1
71943	400	1
71654	470	1
59518	420	1
54939	1050	1
50709	136	1
40848	1080	1
43777	1200	1
61493	1130	3
61383	2050	1
54387	950	2
35087	130	1
35932	12804	3
70983	8375	1
71385	450	1
71385	450	1
35604	180	1
30345	450	2
30345	450	2
73340	580	1
48915	247	1
28185	432	3
35657	900	1
73068	196	4
70297	99	3
70297	101	1
70297	107	1
72634	60	10
70591	171	3
71822	600	2
71822	600	2
43222	277	1
51138	358	1
51138	365	2
59057	198	2
72506	74	6
66900	450	3
67437	670	1
67437	700	2
68369	870	1
70774	1150	2
68046	1100	1
63648	347	2
56368	275	1
68837	1350	1
45011	240	1
56965	850	2
54900	850	1
71908	8007	1
68840	40	6
68150	580	1
68150	580	1
28215	740	1
28216	550	2
42642	70	2
58228	60	10
56808	70	5
63656	960	0.1
73275	2486	1
73275	2486	1
34631	197	2
70724	164	2
73268	660	2
73261	2029	1
72798	1068	1
72789	172	1
72789	182	1
53514	1206	1
35355	1600	1
64564	1550	0.8
28223	2102	1
61479	603	1
62694	1978	1
54534	730	1
48604	920	1
39452	97	8
28226	193	2
28226	204	1
39696	422	1
72009	850	2
56602	1400	1
58656	450	2
72495	340	1
72751	377	3
72343	151	6
72587	950	1
71378	357	1
71378	372	1
64758	174	1
64758	184	5
59834	290	2
73029	148	5
72490	260	2
65342	800	2
36946	154	4
36946	156	1
56905	690	1
54908	130	5
70042	111	4
55018	200	6
62977	730	1
63549	800	1
69206	1200	1
60876	65	1
33859	80	3
28243	1500	2
56300	300	1
64973	150700	1
64973	194810	2
47295	670	1
42547	380	1
51436	380	1
51438	380	1
41059	5400	1
65383	1550	2
69350	161	3
71468	319	2
70547	252	3
73026	270	3
71635	818	5
33461	75	2
64699	550	1
66410	650	1
28260	120	1
28260	180	8
61488	2753	1
72190	3582	1
38754	750	2
38754	750	1
32577	1930	1
28265	1500	1
54809	1450	1
32743	1050	1
72885	1450	1
42954	800	1
64185	1400	1
65372	600	1
65372	600	1
65372	620	1
72718	193	1
72718	199	2
61411	990	1
71054	1050	1
70769	860	2
71125	705	2
67763	730	2
72119	380	1
70804	200	1
70804	200	1
73201	870	1
52160	180	2
69329	10500	1
50628	12320	2
58759	301	2
72342	1100	1
32578	57	2
72771	600	1
28275	170	10
69387	210	1
69393	1700	1
63053	900	1
65681	900	1
65689	530	1
54535	3150	1
34408	870	1
34408	870	1
72389	1750	1
72258	1000	1
71946	91	2
72897	4150	1
70927	1130	1
71948	2159	1
71947	3202	2
67581	1600	2
67438	420	3
67438	420	1
71127	550	1
67973	390	1
73123	450	5
28281	60	2
59300	45000	4
43711	450	2
62062	500	1
62062	500	1
35979	170	4
72290	1	1
72505	250	1
71585	380	3
71585	380	1
55622	500	1
28290	400	3
28290	420	1
40871	300	4
40871	300	1
73295	620	1
72940	1700	1
72546	1950	1
54452	950	2
47679	1200	2
64623	3550	3
64623	3550	1
42423	1450	1
67133	280	1
46354	1450	1
30265	650	1
73028	630	1
35726	870	2
73305	510	1
71270	760	1
64731	750	9
61883	329	10
61883	330	2
70528	596	1
70528	610	2
39576	800	1
39577	760	1
68572	340	3
68572	340	2
61845	175	4
72793	720	1
71035	650	1
28312	317	2
64053	150	2
57358	20	18
72928	250	1
73265	35	1
73296	30	49
57357	30	19
59417	1150	1
57137	400	1
72679	400	1
53226	250	2
53226	250	1
56592	700	2
35690	400	2
35690	480	1
73120	970	1
69485	950	4
63345	1428	1
65428	1434	1
68224	180	5
56516	250	2
33730	50	108
28326	130	1
28327	162	1
63677	160	1
34968	150	1
72763	900	1
72870	194	3
73272	490	2
28332	500	2
63541	630	1
71537	520	1
65049	840	1
30547	500	1
30547	500	1
39053	140	1
54388	790	1
64795	176	1
73336	127	2
52841	450	1
69914	1550	2
38136	850	1
38136	880	1
28345	134	2
28345	134	1
40746	2452	2
71751	250	1
71753	300	2
39959	965	1
54734	2049	1
41033	583	2
62489	1500	1
62489	1500	1
69433	540	1
73289	270	1
40576	180	3
40576	200	11
39835	430	1
40784	240	7
39561	330	8
39562	200	1
39562	240	3
61497	220	2
69844	180	2
68313	70	1
71013	65	1
47207	500	1
69174	1500	2
69174	1500	1
72848	70	2
38187	140	2
70212	120	3
70212	120	1
60648	120	1
60010	120	1
55774	100	2
65907	300	1
73290	2300	5
66042	58300	1
64378	47740	5
48769	150	1
28368	270	5
28368	270	1
67667	170	1
70215	180	2
67822	280	1
70011	480	1
70011	480	1
70011	480	1
71267	431	3
71267	437	5
62125	890	4
61602	1696	1
56976	6200	1
54313	2400	1
28379	2000	1
28380	4850	1
57256	6100	1
35095	220	1
60419	278	1
36281	600	1
37833	470	1
52833	300	1
70580	541	1
70581	682	1
36963	150	2
48504	95	2
28387	1060	1
37322	2500	1.0E-6
37322	2650	1
69997	3981	1
70561	3918	1
70187	11313	1
55925	3531	1
71605	3485	1
68961	11678	1
51282	1327	1
65789	10834	1
70913	900	2
72010	710	2
71144	1450	1
60845	700	1
62654	82	15
70775	166	1
70775	174	6
71852	167	5
71852	167	5
58697	1480	1
72917	191	10
72917	191	1
72916	188	17
62079	9856	3
51134	196075	1
62030	820	1
72022	50	1
51865	1400	1
28400	1600	1
69978	1200	1
72167	1050	1
72240	260	1
72241	300	1
48762	90	1
70786	90	1
72097	550	1
72738	130	2
72739	130	2
55252	200	1
65566	4620	2
31525	70	4
31034	160	2
65826	84700	1
43895	2900	1
30426	830	1
30426	830	1
30426	970	1
31405	54	5
56576	84	1
30834	51233	1
63485	52360	1
69655	525000	1
31355	650	1
66974	690	2
64156	400	1
50047	280	1
72361	600	1
69916	126	1
69916	167	1
70060	1067	1
72416	640	1
47080	408	2
72657	436	2
72657	437	1
73257	309	2
73257	315	1
39855	520	2
70008	530	3
55564	580	2
55564	580	2
65631	780	1
33021	250	1
67047	500	1
70776	380	1
70776	400	1
57999	650	2
73176	420	2
73144	300	2
32548	650	2
33354	540	2
33355	550	2
33356	560	1
72839	320	1
51823	260	1
70049	1500	1
34271	1000	1
72237	850	2
70122	450	1
67087	420	1
65884	140	1
72682	95	3
30409	390	2
64948	1150	1
58769	1660	1
38531	1240	1
28429	570	2
62652	830	2
64155	2400	1
39865	1900	1
43257	1100	1
55656	3450	1
55656	3450	1
55656	3700	1
38342	300	2
71273	720	1
72162	430	2
72162	430	1
73333	360	2
72778	450	1
59695	180	1
59695	180	1
68398	510	1
52209	670	1
28442	290	3
71509	250	1
71509	250	1
73171	420	2
72173	390	1
73187	342	2
62052	140	2
66307	340	2
70300	270	1
70300	310	10
64189	180	4
46649	147	4
28450	160	10
28450	160	5
65066	45	8
66171	24640	3
59187	670	6
72231	168	5
54423	950	1
34480	70	12
34480	70	6
28460	170	2
71965	1160	1
72256	1500	1
72256	1500	1
72161	1600	1
42256	159	1
37615	60	18
62082	65	2
34005	100	4
35178	110	3
60773	170	2
73300	20	19
66687	160	9
66959	380	1
58854	230	1
59466	130	8
63717	50	20
63717	50	4
61214	190	8
61215	180	2
42976	160	1
67413	320	1
73142	2050	1
48192	330	1
65846	300	1
52658	320	1
37407	830	1
52843	320	1
52193	300	2
65847	300	2
72363	630	3
38183	1700	1
70062	860	1
72063	370	1
39332	150	1
41922	230	3
28481	600	1
73059	280	2
72854	1190	1
65746	929	1
64335	1150	1
64335	1150	1
54642	220	2
70692	240	5
28484	760	1
51874	1700	1
63294	2230	1
60907	900	1
67029	350	1
72055	490	2
73119	460	1
30556	457	1
32410	148	1
46463	146	2
46463	148	2
46996	226	3
44264	322	2
60202	550	3
71327	500	9
71327	500	4
66539	150	1
65010	5698	2
72485	700	1
72486	800	1
62195	650	1
28496	1000	1
71857	1300	1
28497	180	3
28497	180	1
28498	280	2
60169	1200	2
60169	1200	1
66961	1100	1
69116	760	1
68486	930	1
66876	570	1
68191	390	1
28501	1300	1
28501	1300	1
69700	2900	1
63145	1250	1
58713	1146	3
60905	1460	2
45442	980	1
45442	980	1
67891	620	2
60685	80	5
35268	400	2
53148	130	2
67869	210	2
28508	1160	1
33898	1700	1
35058	1060	2
48975	250	1
69238	480	1
69238	480	1
70612	650	1
69221	770	1
72640	300	1
71968	888	1
64828	228	1
64451	513	2
32339	200	1
71477	3700	1
71478	3200	1
72984	3500	1
30709	1400	1
62655	644	1
62691	463	2
70722	1050	1
72482	590	1
72482	590	1
63038	215	1
63161	240	1
56966	179	1
72157	116	3
73088	217	1
73121	494	2
72946	285	1
72447	317	1
64200	1060	1
62379	1700	1
37039	1120	1
37009	980	1
54389	3700	1
36909	65	5
36909	65	2
66439	84	10
66585	87	4
72236	88	18
36932	100	2
72795	153	8
72795	154	1
72850	1550	1
28540	850	2
36359	67	3
68528	650	1
68268	500	3
68268	500	1
70872	840	1
68269	224	1
68270	429	2
67854	119	2
72356	380	2
72356	380	1
58201	550	1
68593	670	3
55121	570	1
55121	570	1
28552	1950	1
71281	4200	1
46539	60	1
66576	100	1
45460	280	6
64887	450	2
64615	1500	1
71420	1050	1
71490	970	1
42678	260	1
70398	206	1
65072	84	300
45947	70	1
60277	12012	5
36025	130	5
72982	150	1
71447	650	0.333334
71756	250	2
71755	250	2
71754	250	2
71757	250	1
31385	106	7
71063	28900	1
72102	742	8
32868	684	2
32868	684	1
31037	650	2
69371	640	8
69371	640	1
53457	1030	3
64980	1300	2
64980	1300	1
69822	62678	1
31108	1430	4
69535	924000	1
55015	182	2
31853	1123	1
58204	173085	1
71316	118580	1
68194	329560	1
49709	308	1
64502	46200	1
49150	100	7
67939	39485	1
67940	64197	1
67941	41800	1
67938	21620	1
73152	130	2
36605	650	1
49720	1700	1
66966	750	1
73115	1300	1
73115	1400	1
28563	500	1
28563	530	2
68560	2200	2
73316	900	1
71426	960	1
62740	2200	1
67959	950	3
69719	1370	2
60692	600	1
71724	1030	1
71724	1030	1
68473	1050	2
63030	1500	1
28568	500	1
71615	2700	2
60710	1600	1
60710	1710	1
73248	102	1
72941	80	6
63467	35	1
72507	600	1
65154	210	1
56164	1820	1
37334	1800	2
65705	300	2
70728	850	1
72869	940	1
55978	400	3
72720	1000	2
28577	1100	2
67921	750	2
67921	760	1
73046	1300	1
42840	1050	1
59544	380	1
54284	500	1
54284	600	1
73194	390	1
73245	500	1
67582	280	2
67582	280	2
72313	286	1
72313	294	2
37296	533	4
37296	533	1
56980	1100	1
73130	344	2
71769	500	1
68844	100	1
50242	150	1
70364	300	1
70364	450	3
70364	450	2
70364	450	2
70364	450	1
68195	150	1
72282	130	3
44770	220	4
67899	250	5
41690	90	6
69078	1230	1
43800	45	5
70571	30	2
71182	35	40
71182	35	11
69265	90	2
47784	80	1
60168	150	2
72690	200	2
37745	600	1
62431	260	1
45652	140	3
48917	70	6
68567	100	1
73033	80	1
59488	40	2
72675	220	1
73255	170	1
43474	90	1
73301	250	1
28601	950	1
28601	980	1
65081	380	1
73116	100	6
68910	80	1
72477	120	2
71879	100	1
39259	350	1
67373	80	1
61634	190	1
73214	100	2
65696	200	1
69034	100	2
69035	100	1
69036	100	1
50332	150	4
73113	150	1
47194	170	2
54545	100	4
71193	520	1
72637	450	1
71195	700	1
62063	2000	1
62063	2150	1
30570	1700	1
28632	1100	3
38239	160	3
60971	850	1
42897	1300	14
42897	1300	1
62381	950	1
71473	500	1
40134	350	2
61590	642	1
43704	373	3
54391	594	1
54391	602	5
62183	982	2
34585	519	1
64278	190	1
62596	200	1
32998	560	1
28644	289	2
52844	844	2
65541	207	1
71271	463	1
65827	1250	3
63918	430	3
70344	500	1
73246	500	1
73231	730	2
32988	538	2
38949	70	4
44428	150	1
73165	330	1
70061	360	1
69491	270	2
72589	200	2
73337	450	2
73337	450	1
72064	900	2
72225	626	1
63314	149	14
61804	100	10
64981	120	1
68166	45	1
34819	45	40
64286	990	1
48097	1050	1
72412	290	10
71959	1060	1
72105	3200	1
49884	646	1
73051	722	3
72539	500	2
67694	580	2
67694	580	1
73247	2100	1
68733	250	1
73027	930	2
61458	170	8
70918	170	4
70918	170	3
69204	190	1
69204	195	5
56644	190	2
59130	190	3
59130	190	1
62541	1137	2
73034	74	1
71976	96	1
70261	144	1
71648	162	2
71648	162	2
54708	1022	2
50162	1155	1
50162	1255	2
52372	1416	2
62915	1564	3
62915	1693	3
62710	732	34
73106	312	1
68705	350	1
67571	350	1
67571	490	1
72710	127	5
72594	49	5
72594	54	1
57541	200	2
67457	280	2
72360	98	2
72487	166	2
58701	194	4
58701	196	1
65384	929	3
72174	82	10
72174	84	1
54766	530	2
54766	530	1
51986	2400	1
63323	1400	1
73138	910	5
46048	1300	1
72383	1120	1
66896	750	1
66896	750	1
66183	6156	4
66182	3249	3
72845	2625	6
65460	1300	1
72588	1550	1
36164	260	1
69795	460	2
49402	698	1
70146	450	1
61594	630	1
45437	300	1
72740	2347	1
59136	601	1
69792	982	2
71499	1818	1
69053	1750	2
68901	770	3
70569	50	3
73263	1300	1
67540	3000	1
55675	2000	1
38121	1700	3
62795	830	2
69334	1030	2
69334	1030	1
47996	4294	1
47996	4406	6
70737	361	4
70738	583	4
58212	234	1
54617	1190	1
28695	2200	1
28696	690	2
28698	1050	1
28698	1200	1
65273	2200	1
28704	1579	1
69852	3075	1
71025	891	2
57391	1100	1
64120	350	1
71550	300	1
67294	500	1
73057	470	1
72266	500	1
67535	500	1
56121	470	7
53851	1900	1
33501	500	2
62982	460	1
71827	710	3
71827	710	2
68119	480	1
33500	315	1
28707	1030	1
28707	1030	1
71552	970	1
70841	1400	1
71241	1000	1
71241	1100	1
72766	920	1
64585	580	1
42464	150	1
59069	150	1
65160	280	1
33140	170	1
73307	150	1
65896	463	1
65896	475	1
73256	284	5
46098	273	2
48877	177	9
48877	193	4
67481	4068	1
69469	330	1
68697	850	2
56541	620	2
56541	620	1
71546	1170	1
62998	83	2
72783	94	1
72783	131	2
69398	1650	1
71871	450	1
32897	870	1
73291	1190	1
72807	930	1
66447	2070	1
69039	860	1
28717	980	3
28717	980	2
28717	980	1
32209	120	2
71902	130	1
72106	90	2
69137	370	1
71710	390	1
71792	70	1
58287	570	1
69835	980	2
54503	1600	1
54658	1900	1
50252	200	1
47364	70	1
58433	20	32
69995	60	11
67343	550	2
54095	55	1
54095	60	20
65489	900	2
72065	2500	1
65329	2340	1
65329	2400	1
47490	530	2
66075	30	7
36934	25	5
36934	40	1
35110	280	4
52862	1230	1
36589	600	1
36590	600	1
34654	630	1
30455	700	1
28754	150	2
28759	100	1
73117	55	8
72623	100	5
51206	450	3
72713	2970	1
64574	123200	1
39515	240	5
35634	130	18
35160	80	1
55602	3500	1
55603	5400	1
37106	97405	1
31416	300	1
31416	310	2
31418	290	1
56799	990	1
64582	292600	1
30890	250	2
31746	45	1
30914	1100	1
62078	990	3
62078	1000	1
31944	540	3
43255	847000	1
72571	240	2
69682	200	1
72572	240	1
73249	240	22
63484	215600	1
54955	250	2
45583	65	2
28763	750	1
28764	670	2
28764	670	1
72130	880	1
47718	360	3
30416	340	1
28766	350	1
28766	370	2
42234	500	4
42183	460	1
46654	380	1
41686	440	2
73099	930	2
73099	950	2
73052	1450	1
30326	390	4
28773	380	3
28773	380	2
71019	860	1
28777	450	2
28778	500	2
36631	220	2
64135	280	1
62677	280	1
37611	500	1
65419	1420	1
71562	380	1
64272	330	2
64441	530	2
55208	1199	1
44841	330	1
64270	330	4
28782	300	4
58032	1060	4
58032	1141	1
55898	50	7
28783	40	4
28784	530	1
59778	620	1
43968	160	5
67744	336	2
68882	730	2
72934	243	2
72935	477	1
45422	590	1
54000	167	3
54000	167	1
52326	96	49
70164	1926	0.6
53306	162	10
72708	111	4
62950	229	4
68450	154	9
38067	59	1
71408	106	2
71408	134	1
70817	271	1
70817	283	1
72818	2482	4.0E-6
73131	182	3
73262	230	1
62039	95	2
62039	100	9
60436	95	12
60436	95	2
32342	95	10
32343	90	1
32345	90	2
32345	95	2
32345	95	1
55182	95	11
28799	820	1
67166	40	32
69022	820	1
73197	490	1
70751	1500	1
59025	140	2
71101	500	1
62203	750	1
62203	790	3
68803	320	3
56847	1450	2
65927	800	2
65927	800	1
38702	1300	1
63744	70	2
62472	170	1
63740	150	1
59135	150	2
59732	150	3
70621	240	1
70072	130	3
70072	150	1
69366	130	3
71510	130	3
64662	90	2
55437	130	1
55437	150	3
28805	670	1
28805	690	2
42787	860	1
28806	5600	1
28808	3850	1
49285	660	1
59091	700	2
59656	1640	1
68824	1400	2
72680	400	2
43664	537	5
39759	2000	1
39759	2200	2
39759	2200	1
72558	271	5
72558	271	1
72558	272	1
72558	272	1
73023	530	1
57980	250	3
71860	354	2
34454	300	3
50312	1250	1
65184	530	4
46402	100	1
60586	1500	2
54424	1800	1
71672	500	1
47776	930	2
47776	930	1
72066	360	1
72610	520	1
71694	550	1
52251	470	1
73233	7300	1
56044	340	1
56044	380	1
28823	880	1
56737	630	1
55906	500	1
55906	630	1
70211	338	2
70211	338	2
64271	700	3
67325	250	5
67325	580	1
67206	960	1
67360	199	1
69462	250	5
69462	250	1
51061	370	4
68121	400	3
28832	370	3
61827	410	1
33638	370	1
36721	330	2
60636	1400	1
55782	600	1
72297	1150	1
72297	1150	1
33320	1200	2
60870	1100	2
70634	1060	1
73273	1160	4
71153	1200	1
69828	1300	3
70617	2300	1
70267	2300	1
70267	2400	3
69168	1050	1
70578	1220	1
68916	900	1
68916	900	1
68916	1080	1
36133	1300	2
46087	2220	1
46087	2220	1
55998	2250	1
49381	400	1
46797	80	4
46797	80	1
55727	150	1
56595	100	1
73254	110	2
71888	950	1
72561	560	3
72561	620	4
72938	1600	1
70066	570	4
73074	250	3
73304	200	12
64671	230	1
50935	2498	1
68509	778	2
71511	820	2
55141	420	1
49346	670	1
69267	149	2
37646	250	1
28861	102	1
33481	96	4
66045	660	1
66044	800	1
32584	71	1
32584	73	5
32584	73	3
47686	200	1
28865	187	2
47067	42	1
72576	103	3
30378	163	1
28867	750	1
70942	847	2
69400	479	1
63475	750	1
68690	1100	1
72532	1100	1
72626	153	3
64890	170	1
69361	347	5
64960	650	1
61671	960	1
71289	1100	1
57250	350	2
68480	2000	1
70104	134	1
42099	250	2
62934	1500	2
62934	1500	1
67697	550	1
68217	840	2
68217	840	1
51009	189	1
68629	1752	0.357142
44945	160	2
44945	160	1
43230	420	1
65779	750	1
65779	750	1
65779	820	1
72274	650	2
67298	1250	2
67298	1250	1
62387	1180	6
62281	990	2
40803	850	2
51098	790	2
28894	450	3
28895	580	2
68183	390	1
68183	392	2
55542	490	1
28898	800	1
28898	880	1
71987	173	2
71988	172	4
71988	172	1
44794	2900	1
45151	730	1
61944	224	4
61944	227	1
61416	223	2
61880	120	5
48896	50	3
66543	164	3
69100	860	1
69100	900	3
63640	202	2
64139	203	1
73250	160	5
69419	120	1
69420	240	1
69918	240	1
69814	100	1
70597	240	2
64527	19373	5
64528	38962	5
39369	146	5
46198	320	2
48376	320	1
48376	324	4
43577	122	6
47866	480	3
30307	117	10
30307	119	5
64452	219	10
46071	321	6
49635	353	2
46126	151	15
46126	152	21
45155	247	2
43727	238	6
54736	239	3
28936	400	4
30310	1500	2
55266	1900	4
72830	217	3
72830	220	1
65822	950	2
28949	400	3
28949	400	2
30917	70	10
33903	340	1
33903	370	1
31323	1700	2
31497	250	4
31497	250	3
31492	380	1
70815	197999	2
31041	220	1
61339	7000	2
61583	1120	20
61583	11200	2
34734	29	5
34734	31	1
61170	5236	2
43978	1200	1
31030	820	1
45262	330	1
68689	200	2
67018	120	3
67018	120	1
73198	250	2
61273	1990	1
30630	2300	1
63816	1160	1
45700	130	2
70283	650	1
37849	140	3
60774	100	1
45682	59634	1
52659	450	1
37813	600	1
65051	580	2
70714	6181	1
70397	2187	6
70763	400	4
73000	370	1
64917	400	2
32576	1080	1
28953	2160	1
71413	821	1
71196	460	1
71196	550	3
49494	1300	1
65840	610	1
57051	410	1
68743	1200	1
28948	1200	2
64377	414	1
60025	336	1
52021	240	7
73060	530	1
35491	420	4
70811	200	1
59149	200	1
71485	200	1
63593	230	1
63593	230	1
68074	200	1
59151	200	1
59663	280	2
28961	490	1
68396	750	1
57187	730	5
50778	790	1
67344	3100	2
60373	520	1
65435	800	2
65435	800	1
72636	28101	3
56679	950	1
66197	86	2
65421	246	10
65421	246	6
49329	96	1
70948	115	3
72314	143	2
73235	122	10
73235	124	3
54701	2468	1
59708	822	2
72959	2805	1
60474	901	2
37783	500	1
37958	470	2
65870	1700	6
65870	1771	2
70354	1033	10
70355	4638	6
69319	6200	2
28975	980	1
73039	500	2
73328	700	1
69576	1820	1
67606	1100	1
30551	460	2
69322	160	2
72238	24000	1
68117	500	2
68117	500	1
68117	500	1
68117	550	1
66327	780	1
63910	200	1
72327	2000	1
72325	3300	1
45499	3250	2
45498	3250	2
63525	395	1
53629	1200	1
53629	1700	1
68390	130	2
32463	150	1
45189	160	3
45189	160	1
37438	160	3
33784	150	5
68813	170	3
73166	812	7
68825	8000	4
68825	8000	2
68825	8000	1
41633	800	1
42825	501	1
28993	740	3
54811	195	10
54667	242	1
65990	780	1
68380	420	2
46119	500	2
55814	197	1
28997	193	28
28998	238	13
63252	940	1
66853	2250	1
48484	130	3
51113	130	3
69724	1080	1
69743	520	1
69743	600	1
69743	600	1
71803	1000	1
60146	255	1
60146	256	2
30501	490	4
54166	650	1
65058	900	1
59598	190	1
33001	90	1
33001	95	2
49821	300	9655
49821	500	1575
49821	500	919
39824	500	238
39824	500	8
70672	2000	5
71154	1000	7
37177	1400	1
31102	1500	1
55198	120	2
31555	200	1
50035	28	16
50035	29	60
68113	107800	1
68115	30800	1
68114	58520	1
65074	23100	10
64581	6930	1
31579	260	1
49712	280	1
49712	320	2
31580	300	4
59650	170742	2
64523	184164	1
30831	100	5
30767	1650	1
30767	1650	1
71600	15246	2
71844	12320	1
64846	169400	1
64845	372680	1
72929	300	1
70089	39732	1
34904	250	2
49588	100	1
49588	100	1
65012	3360	2
72527	86240	1
63256	59500	2
57816	154000	1
71712	206	3
30898	34	3
31148	280	1
63400	2310	5
30826	1900	1
43774	635	1
36698	350	1
30960	1900	2
49587	2600	1
30875	1150	1
71448	900	2
71448	900	0.333334
71758	390	1
29005	40	1
66815	220	4
66277	7158	2
49981	2614	1
49981	2927	1
49982	6970	1
49980	1069	1
29008	1397	1
54316	1170	1
54965	230	2
37508	490	1
70945	562	2
70945	566	1
70618	281	3
66911	710	2
73202	103	4
62483	82	6
72493	1400	3
73297	190	4
73298	320	2
30606	940	3
65156	900	1
29026	2300	1
67322	860	1
61327	1150	1
60958	360	1
71369	350	20
63329	890	1
65123	1250	1
62421	1500	2
55097	120	1
61805	110	2
70917	40	2
70939	1050	1
72851	103	1
70702	5900	1
69428	3200	1
55243	200	1
68984	270	1
65388	290	1
72811	326	1
72414	342	1
64302	6230	3
53539	590	1
72473	150	4
72473	150	1
72474	150	2
68127	140	1
72475	140	4
72476	140	4
35352	95	5
35352	95	2
35352	95	1
66129	140	3
72121	850	1
67503	900	1
65897	250	4
65897	250	1
67033	1200	1
68553	243	2
61711	120	8
61711	120	1
59581	900	2
57857	420	6
71809	380	1
67929	132000	2
34693	515	1
60603	61	2
61917	500	2
66782	170	8
73282	320	5
50731	530	1
73321	4541	1
29049	290	1
45030	170	2
45030	170	1
35893	900	1
62162	670	1
71042	20	8
72975	25	11
72975	25	3
69351	20	40
62835	271	3
72879	234	1
71409	327	1
70661	319	1
70898	666	1
71421	324	1
71421	347	1
29053	1400	1
29053	1550	1
69654	870	2
48072	460	2
66787	70	5
29057	40	1
72566	340	1
72519	290	1
72415	500	2
72367	110	5
70383	120	1
71362	450	1
70936	530	1
71200	690	1
37224	1700	1
45166	1950	1
66432	1350	1
40308	3100	1
72154	75	2
72175	10	250
73253	1500	1
71703	15	4
71703	20	3
72715	500	1
72715	500	1
73229	160	1
73230	160	1
72733	400	3
68709	1000	1
72741	600	1
72742	700	0.64
64385	12	1
64385	500	0.32
72042	10	15
72042	20	26
72048	40	1
72049	40	40
65699	40	3
50734	200392	2
61977	5000	1
46738	3200	1
73153	80	3
72111	180	1
72759	690	1
62815	370	1
62815	390	2
72349	510	1
60782	150	2
68696	500	2
49115	2400	1
65050	700	2
44124	100	2
65249	380	2
66821	16	5
67679	50	20
68698	45	7
29086	20	42
35859	220	1
41245	350	3
41245	350	1
72267	20	4
72267	20	1
62188	60	2
54449	104	2
71294	170	1
71294	174	2
58280	78	6
35753	60	4
35753	80	1
58186	227	2
58186	227	1
46965	3162	1
71828	893	1
65977	636	1
70905	569	2
70223	3000	10
70223	3000	5
68614	180	1
68614	200	1
66400	420	5
69523	17	3
72732	180	1
61135	100	1
69484	190	1
69484	230	6
69484	230	1
67074	550	4
72550	300	3
67265	550	1
67265	560	1
72887	128	2
69310	320	1
69311	270	2
64455	25	64
69095	2350	1
72255	3200	1
62248	146	4
72272	287	2
32268	1300	1
63724	930	1
40792	200	10
60130	180	3
60354	45	1
60354	55	2
60354	60	22
60354	60	20
60354	60	8
49555	160	1
66296	40	11
69635	630	1
69635	680	1
67111	2500	0.04
73280	30	50
69636	220	5
69637	220	5
69637	250	4
67079	60	1
73264	1400	1
71643	120	10
72029	3700	1
65211	1200	1
64785	1000	5
64786	760	2
64786	850	2
72302	770	1
37365	95	4
33983	160	2
50986	110	2
42306	80	1
57069	100	8
71261	950	1
57308	550	1
71009	870	3
34309	800	2
29144	1300	1
50439	1265	20
69481	240	1
72983	1200	1
29148	1397	1
70630	1010	1
44845	960	1
50791	620	1
50791	690	6
36921	930	1
61078	450	2
42268	840	1
73330	230	5
41350	616	1
37366	100	1
47168	150	1
62192	230	1
29159	450	1
61463	50	1
59216	990	1
29161	710	1
29162	1050	1
66655	950	1
71565	1250	1
71565	1250	1
29163	150	2
55224	140	2
41584	440	2
68464	1800	1
34815	1982	1
72375	31	2
70113	229	6
67735	2300	2
55461	1300	1
39028	70	7
39028	70	4
39028	70	2
32733	250	3
33286	1100	2
33286	1100	1
48676	250	2
48676	300	1
67944	300	1
44064	300	1
33005	15	5
60557	170	6
60557	170	1
72226	1000	2
72226	1000	1
66668	280	3
66668	280	3
29189	320	2
29192	550	1
29193	320	1
29194	300	2
65774	350	1
72403	390	1
73331	300	1
48312	280	1
65603	240	1
73338	300	1
51820	370	2
72398	470	1
72755	450	1
72755	550	1
62577	370	2
71554	350	5
71151	1200	1
71151	1200	1
65140	1200	2
65140	1300	1
65155	960	2
64851	446	8
55076	455	3
70231	1070	1
69832	980	1
70294	260	1
66122	130	4
69996	727	1
68519	800	1
67045	3000	1
50808	20295	1
64099	160	4
29242	240	1
51028	180	12
64379	220	6
66041	250	2
66041	310	2
67224	420	1
67225	300	2
67930	200	2
57572	890	2
29262	880	1
29262	900	1
36142	920	2
36142	920	1
54695	620	2
73325	130	17
72404	900	4
72790	583	1
35039	650	1
